

IPV4央视,#genre#
山西卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225507/index.m3u8
吉林卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225598/index.m3u8
新闻资讯,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225500/index.m3u8
深圳卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225592/index.m3u8
广西卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225557/index.m3u8
甘肃卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225561/index.m3u8
新疆卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225560/index.m3u8
兵团卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225518/index.m3u8
内蒙古卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225511/index.m3u8
青海卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225528/index.m3u8

重温经典,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
农林卫视,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226335/index.m3u8
生活时尚,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226357/index.m3u8
乐游,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226354/index.m3u8
动漫秀场,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226371/index.m3u8
金色学堂,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226376/index.m3u8
文物宝库,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226382/index.m3u8
法治天地,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226379/index.m3u8
茶频道,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226367/index.m3u8
武术世界,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226386/index.m3u8
快乐垂钓,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226368/index.m3u8
梨园频道,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226383/index.m3u8
游戏风云,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226374/index.m3u8
四海钓鱼,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226363/index.m3u8
劲爆体育,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226389/index.m3u8
购物,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226434/index.m3u8


港澳频道,#genre#
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰中文,http://cdn6.163189.xyz/163189/fhzw
凤凰中文,http://223.95.198.3:8000/hls/20/index.m3u8
凤凰资讯,http://cdn6.163189.xyz/163189/fhzx
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
翡翠台,http://74.91.26.218:82/live/jade.m3u8
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
TVB新闻,http://74.91.26.218:82/live/inews.m3u8
TVB星河,http://php.jdshipin.com/PLTV/iptv.php?id=xinghe
无线功夫,http://php.jdshipin.com/PLTV/iptv.php?id=yzwx
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
民视第一台,http://74.91.26.218:82/live/ftvdy.m3u8
无线新闻台,http://74.91.26.218:82/live/inews.m3u8
民视台湾台,http://74.91.26.218:82/live/ftvtw.m3u8
民视新闻台,http://74.91.26.218:82/live/ftvnews.m3u8
中视经典,http://74.91.26.218:82/live/ctvjd.m3u8
中视新闻,http://74.91.26.218:82/live/ctvnews.m3u8
台视新闻,http://74.91.26.218:82/live/ttvnews.m3u8
台视综合,http://74.91.26.218:82/live/ttvzh.m3u8

澳视澳门,http://iptv.4666888.xyz/iptv2A.php?id=41
广东体育,http://iptv.4666888.xyz/iptv2A.php?id=20
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
有线新闻,http://iptv.4666888.xyz/iptv2A.php?id=31
无线翡翠,http://iptv.4666888.xyz/iptv2A.php?id=34
无线华丽,http://iptv.4666888.xyz/iptv2A.php?id=28
无线明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
无线娱乐,http://iptv.4666888.xyz/iptv2A.php?id=36
无线千禧,http://iptv.4666888.xyz/iptv2A.php?id=22
无线1_美,http://iptv.4666888.xyz/iptv2A.php?id=25
无线J1美,http://iptv.4666888.xyz/iptv2A.php?id=26
无线翡剧,http://iptv.4666888.xyz/iptv2A.php?id=33
有线综合,http://iptv.4666888.xyz/iptv2A.php?id=35
美亚电影,http://iptv.4666888.xyz/iptv2A.php?id=30
RTHK-31,http://iptv.4666888.xyz/iptv2A.php?id=23
tvbs新闻,http://iptv.4666888.xyz/iptv2A.php?id=43
纬来电影,http://iptv.4666888.xyz/iptv2A.php?id=40
龙华电影,http://iptv.4666888.xyz/iptv2A.php?id=45
东森电影,http://iptv.4666888.xyz/iptv2A.php?id=48
民视闽南,http://iptv.4666888.xyz/iptv2A.php?id=55
民视影剧,http://iptv.4666888.xyz/iptv2A.php?id=53
民视综艺,http://iptv.4666888.xyz/iptv2A.php?id=46
中视经典,http://iptv.4666888.xyz/iptv2A.php?id=54
非凡商业,http://iptv.4666888.xyz/iptv2A.php?id=44
华艺中文,http://iptv.4666888.xyz/iptv2A.php?id=37
博运动壹,http://iptv.4666888.xyz/iptv2A.php?id=6
八度空间,http://iptv.4666888.xyz/iptv2A.php?id=52
爱奇艺综,http://iptv.4666888.xyz/iptv2A.php?id=21
JET-综合,http://iptv.4666888.xyz/iptv2A.php?id=51
ELta综合,http://iptv.4666888.xyz/iptv2A.php?id=49
rock娱乐,http://iptv.4666888.xyz/iptv2A.php?id=50
EYE-戏剧,http://iptv.4666888.xyz/iptv2A.php?id=56
wwe格斗,http://iptv.4666888.xyz/iptv2A.php?id=5
SPOTV-1,http://iptv.4666888.xyz/iptv2A.php?id=2
SPOTV-2,http://iptv.4666888.xyz/iptv2A.php?id=1
Football,http://iptv.4666888.xyz/iptv2A.php?id=4
Sports-3,http://iptv.4666888.xyz/iptv2A.php?id=3

Plus综合,http://rihou.cc:555/tv/[Pd]Plus综合
凤凰中文,http://rihou.cc:555/tv/[Pd]凤凰中文
